category,metric_path,metric_title,free_full,rank,name,name_href,team,position,season_label,season_value,last_1,last_3,last_5,last_10,home,away,extra_json
coverage,/nfl/coverage-intelligence,"NFL Coverage Stats | Man, Zone &amp; Shell Splits | CoverageIQ+",no,1,Chris OlaveC. Olave,/nfl/player-pages/4973/chris-olave,New Orleans Saints,,,,,,,,,,"{""Next Opp"": ""Baltimore Ravens"", ""Pos"": ""WR"", ""Routes"": ""38"", ""TPRRAll Games"": ""28.95%"", ""YPRRAll Games"": ""3.45"", ""FP/RRAll Games"": ""0.56"", ""First Read %All Games"": ""35.0%""}"
coverage,/nfl/coverage-intelligence,"NFL Coverage Stats | Man, Zone &amp; Shell Splits | CoverageIQ+",no,2,Devaughn VeleD. Vele,/nfl/player-pages/13889/devaughn-vele,New Orleans Saints,,,,,,,,,,"{""Next Opp"": ""Baltimore Ravens"", ""Pos"": ""WR"", ""Routes"": ""35"", ""TPRRAll Games"": ""14.29%"", ""YPRRAll Games"": ""0.63"", ""FP/RRAll Games"": ""0.15"", ""First Read %All Games"": ""20.0%""}"
coverage,/nfl/coverage-intelligence,"NFL Coverage Stats | Man, Zone &amp; Shell Splits | CoverageIQ+",no,3,Matthew GoldenM. Golden,/nfl/player-pages/1620/matthew-golden,Green Bay Packers,,,,,,,,,,"{""Next Opp"": ""New York Jets"", ""Pos"": ""WR"", ""Routes"": ""30"", ""TPRRAll Games"": ""23.33%"", ""YPRRAll Games"": ""2.67"", ""FP/RRAll Games"": ""0.4"", ""First Read %All Games"": ""19.23%""}"
coverage,/nfl/coverage-intelligence,"NFL Coverage Stats | Man, Zone &amp; Shell Splits | CoverageIQ+",no,3,Amon-Ra St. BrownA. St. Brown,/nfl/player-pages/12451/amon-ra-st-brown,Detroit Lions,,,,,,,,,,"{""Next Opp"": ""New York Jets"", ""Pos"": ""WR"", ""Routes"": ""30"", ""TPRRAll Games"": ""26.67%"", ""YPRRAll Games"": ""2.1"", ""FP/RRAll Games"": ""0.68"", ""First Read %All Games"": ""35.71%""}"
coverage,/nfl/coverage-intelligence,"NFL Coverage Stats | Man, Zone &amp; Shell Splits | CoverageIQ+",no,3,Juwan JohnsonJ. Johnson,/nfl/player-pages/14481/juwan-johnson,New Orleans Saints,,,,,,,,,,"{""Next Opp"": ""Baltimore Ravens"", ""Pos"": ""TE"", ""Routes"": ""30"", ""TPRRAll Games"": ""10.0%"", ""YPRRAll Games"": ""1.5"", ""FP/RRAll Games"": ""0.22"", ""First Read %All Games"": ""10.0%""}"
coverage,/nfl/coverage/air-yard-share/vs/all-coverages,CoverageIQ | Air Yard Share vs All Coverages | NFL Coverage Stats | StatRankings,no,1,Emeka EgbukaE. Egbuka,/nfl/player-pages/3775/emeka-egbuka,Tampa Bay Buccaneers,,,,,,,,,,"{""Next Opp"": ""Cleveland Browns"", ""Pos"": ""WR"", ""Routes"": ""23"", ""AY ShareAll Games"": ""63.64%""}"
coverage,/nfl/coverage/air-yard-share/vs/all-coverages,CoverageIQ | Air Yard Share vs All Coverages | NFL Coverage Stats | StatRankings,no,2,Jameson WilliamsJ. Williams,/nfl/player-pages/20116/jameson-williams,Detroit Lions,,,,,,,,,,"{""Next Opp"": ""New York Jets"", ""Pos"": ""WR"", ""Routes"": ""36"", ""AY ShareAll Games"": ""61.65%""}"
coverage,/nfl/coverage/air-yard-share/vs/all-coverages,CoverageIQ | Air Yard Share vs All Coverages | NFL Coverage Stats | StatRankings,no,3,Arian SmithA. Smith,/nfl/player-pages/6694/arian-smith,New York Jets,,,,,,,,,,"{""Next Opp"": ""Green Bay Packers"", ""Pos"": ""WR"", ""Routes"": ""1"", ""AY ShareAll Games"": ""57.14%""}"
coverage,/nfl/coverage/air-yard-share/vs/all-coverages,CoverageIQ | Air Yard Share vs All Coverages | NFL Coverage Stats | StatRankings,no,4,Jahan DotsonJ. Dotson,/nfl/player-pages/11353/jahan-dotson,Atlanta Falcons,,,,,,,,,,"{""Next Opp"": ""Carolina Panthers"", ""Pos"": ""WR"", ""Routes"": ""17"", ""AY ShareAll Games"": ""54.84%""}"
coverage,/nfl/coverage/air-yard-share/vs/all-coverages,CoverageIQ | Air Yard Share vs All Coverages | NFL Coverage Stats | StatRankings,no,5,Alec PierceA. Pierce,/nfl/player-pages/3892/alec-pierce,Indianapolis Colts,,,,,,,,,,"{""Next Opp"": ""Kansas City Chiefs"", ""Pos"": ""WR"", ""Routes"": ""22"", ""AY ShareAll Games"": ""54.5%""}"
coverage,/nfl/coverage/air-yard-share/vs/cover-0,CoverageIQ | Air Yard Share vs Cover 0 | NFL Coverage Stats | StatRankings,no,1,Josh DownsJ. Downs,/nfl/player-pages/366/josh-downs,Indianapolis Colts,,,,,,,,,,"{""Next Opp"": ""Kansas City Chiefs"", ""Pos"": ""WR"", ""Routes"": ""2"", ""AY ShareAll Games"": ""100.0%""}"
coverage,/nfl/coverage/air-yard-share/vs/cover-0,CoverageIQ | Air Yard Share vs Cover 0 | NFL Coverage Stats | StatRankings,no,1,CeeDee LambC. Lamb,/nfl/player-pages/731/ceedee-lamb,Dallas Cowboys,,,,,,,,,,"{""Next Opp"": ""Washington Commanders"", ""Pos"": ""WR"", ""Routes"": ""2"", ""AY ShareAll Games"": ""100.0%""}"
coverage,/nfl/coverage/air-yard-share/vs/cover-0,CoverageIQ | Air Yard Share vs Cover 0 | NFL Coverage Stats | StatRankings,no,1,Jaxon Smith-NjigbaJ. Smith-Njigba,/nfl/player-pages/2999/jaxon-smith-njigba,Seattle Seahawks,,,,,,,,,,"{""Next Opp"": ""Arizona Cardinals"", ""Pos"": ""WR"", ""Routes"": ""1"", ""AY ShareAll Games"": ""100.0%""}"
coverage,/nfl/coverage/air-yard-share/vs/cover-0,CoverageIQ | Air Yard Share vs Cover 0 | NFL Coverage Stats | StatRankings,no,1,Tetairoa McMillanT. McMillan,/nfl/player-pages/5263/tetairoa-mcmillan,Carolina Panthers,,,,,,,,,,"{""Next Opp"": ""Atlanta Falcons"", ""Pos"": ""WR"", ""Routes"": ""2"", ""AY ShareAll Games"": ""100.0%""}"
coverage,/nfl/coverage/air-yard-share/vs/cover-0,CoverageIQ | Air Yard Share vs Cover 0 | NFL Coverage Stats | StatRankings,no,1,Mike EvansM. Evans,/nfl/player-pages/6348/mike-evans,San Francisco 49ers,,,,,,,,,,"{""Next Opp"": ""Miami Dolphins"", ""Pos"": ""WR"", ""Routes"": ""1"", ""AY ShareAll Games"": ""100.0%""}"
coverage,/nfl/coverage/air-yard-share/vs/cover-1,CoverageIQ | Air Yard Share vs Cover 1 | NFL Coverage Stats | StatRankings,no,1,Garrett WilsonG. Wilson,/nfl/player-pages/1670/garrett-wilson,New York Jets,,,,,,,,,,"{""Next Opp"": ""Green Bay Packers"", ""Pos"": ""WR"", ""Routes"": ""6"", ""AY ShareAll Games"": ""120.0%""}"
coverage,/nfl/coverage/air-yard-share/vs/cover-1,CoverageIQ | Air Yard Share vs Cover 1 | NFL Coverage Stats | StatRankings,no,2,Courtland SuttonC. Sutton,/nfl/player-pages/21742/courtland-sutton,Denver Broncos,,,,,,,,,,"{""Next Opp"": ""Jacksonville Jaguars"", ""Pos"": ""WR"", ""Routes"": ""7"", ""AY ShareAll Games"": ""119.05%""}"
coverage,/nfl/coverage/air-yard-share/vs/cover-1,CoverageIQ | Air Yard Share vs Cover 1 | NFL Coverage Stats | StatRankings,no,3,Matthew GoldenM. Golden,/nfl/player-pages/1620/matthew-golden,Green Bay Packers,,,,,,,,,,"{""Next Opp"": ""New York Jets"", ""Pos"": ""WR"", ""Routes"": ""2"", ""AY ShareAll Games"": ""100.0%""}"
coverage,/nfl/coverage/air-yard-share/vs/cover-1,CoverageIQ | Air Yard Share vs Cover 1 | NFL Coverage Stats | StatRankings,no,3,Amon-Ra St. BrownA. St. Brown,/nfl/player-pages/12451/amon-ra-st-brown,Detroit Lions,,,,,,,,,,"{""Next Opp"": ""New York Jets"", ""Pos"": ""WR"", ""Routes"": ""6"", ""AY ShareAll Games"": ""100.0%""}"
coverage,/nfl/coverage/air-yard-share/vs/cover-1,CoverageIQ | Air Yard Share vs Cover 1 | NFL Coverage Stats | StatRankings,no,3,Justin JeffersonJ. Jefferson,/nfl/player-pages/21285/justin-jefferson,Minnesota Vikings,,,,,,,,,,"{""Next Opp"": ""Chicago Bears"", ""Pos"": ""WR"", ""Routes"": ""1"", ""AY ShareAll Games"": ""100.0%""}"
